VideoID,Title,Channel,PublishDate,URL,Views,Likes,Comments,Duration_sec
2Kac0xSDDOk,Aladiner Songshar | Full Drama | আলাদিনের সংসার | Rashed Shemanto | Zara Noor |Bangla New Natok 2025,CD CHOICE EXPRESS,2025-12-26T08:00:04Z,https://youtube.com/watch?v=2Kac0xSDDOk,924723,6488,289,3556.0
ncJOjBMT1Es,আমার বয়ফ্রেন্ডরে তুই কেক খাওয়াস | Niloy Alamgir | Jannatul Heme | New Bangla Natok 2025 #natok,Jannatul_Heme,2025-07-21T09:00:24Z,https://youtube.com/watch?v=ncJOjBMT1Es,2340443,17020,49,15.0
6J_Wvt4GLLQ,প্রবাসীর সংসার | Probashir Shongshar | Full Natok | Asraf Supto | Mihi Ahsan | Bangla New Natok 2026,MADFLIX,2026-02-03T08:00:05Z,https://youtube.com/watch?v=6J_Wvt4GLLQ,60223,329,21,3320.0
GqnHDRpnvhU,ফেল্টু বাহার | Feltu Bahar | Full Natok | Niloy Alamgir | Heme | Bangla New Natok 2026,Niloy Alamgir,2026-01-24T09:00:32Z,https://youtube.com/watch?v=GqnHDRpnvhU,1800071,7957,150,3543.0
CV7Aur-EUo8,প্রেম ফিউশন | Prem Fusion | Full Natok | Saila Sathy | Pranto | New Bangla Natok 2026,Big City Drama,2026-01-29T09:00:19Z,https://youtube.com/watch?v=CV7Aur-EUo8,345139,4149,283,2488.0
qC-VVJ67b4s,santo lamha new natok | Drama | prank king natok | Bangla natok | lamha sakib natok | miraz Lamha,MStv Today,2024-07-05T04:52:46Z,https://youtube.com/watch?v=qC-VVJ67b4s,1138699,36559,545,9.0
ujtKviwSoaQ,Shonddhikhon | Jovan | Malaika | Bangla Natok | Drama Clips | Mehazabien,Mohammad Mostafa Kamal Raz,2025-04-28T06:00:51Z,https://youtube.com/watch?v=ujtKviwSoaQ,2697562,26939,63,11.0
3xLyOPJwtu8,Revenge | রিভেঞ্জ | Musfiq R Farhan | Keya Payel | Musfiq Farhan New Natok | Bangla New Natok 2025,Swadesh Drama,2025-11-27T08:10:00Z,https://youtube.com/watch?v=3xLyOPJwtu8,1126847,5866,154,2227.0
r2cRvImNatA,সুন্দরীকে পিচ্চী বলা Apurba I Niha | Bangla Natok Experience,Bangla Natok Experience,2025-04-10T18:57:38Z,https://youtube.com/watch?v=r2cRvImNatA,1787589,23777,78,18.0
0cFSEwZP1r0,বউনীতি | Bouniti | Full Drama | Tuhin Chowdhury | Manoshi Prokrity | Dramaverse | Bangla Natok 2026,Dramaverse,2026-02-09T06:00:01Z,https://youtube.com/watch?v=0cFSEwZP1r0,93234,626,15,2786.0
VN4KxnSycRo,শ্যামলা মেয়ে | Prank King | Saila Sathy | Shafiul Raj | S R Sobuj | New Natok 2025,JOBAFUL DRAMA,2025-11-26T06:00:29Z,https://youtube.com/watch?v=VN4KxnSycRo,4151169,41963,2020,3337.0
uxcL9ZyZyFs,গরীব জামাই । Gorib Jamai। Tuhin Chowdhury I Farzana Ahsan Mihi। Bangla Natok 2026। Naz Multimedia,Naz Multimedia BD,2026-01-06T09:01:36Z,https://youtube.com/watch?v=uxcL9ZyZyFs,1123301,5831,180,2600.0
PJNAgzWMBbk,Ek Tukro Shopno | এক টুকরো স্বপ্ন | Full Natok | Niloy Alamgir | Tania Brishty | Bangla Natok 2025,Housefull Entertainment,2025-11-06T09:00:26Z,https://youtube.com/watch?v=PJNAgzWMBbk,5852060,37578,1740,2611.0
n21Q5XK-P5k,পাশা পাশি | Full Natok | Yash Rohan | Sadia Ayman | Bangla Natok 2026,Sultan Multimedia,2026-02-01T09:32:25Z,https://youtube.com/watch?v=n21Q5XK-P5k,1018567,10992,0,3031.0
gmgmZUWKe9s,মেয়েলী প্রেমিক | Prank King | Rafsun Imtiaj | Nusrat Spriha | Rakib Mirzya | Bangla New Natok 2025,JOBAFUL DRAMA,2025-11-11T06:00:43Z,https://youtube.com/watch?v=gmgmZUWKe9s,2354859,28206,818,2530.0
3tukibnjxug,বউ কোথায়? | Bou Kothay? | Jovan | Keya Payel | Mariya Shanto | Parsha | New Bangla Natok 2026,CMV Entertainment,2026-01-10T12:38:06Z,https://youtube.com/watch?v=3tukibnjxug,2338950,11896,198,2202.0
3UvQTazI04U,বউ শাশুড়ি পোয়াতি ২  ( Full Drama ) | Raju Ahmed | Adrita Sonia | Dola | Bangla New Natok 2025,MK Movies,2025-11-24T01:12:28Z,https://youtube.com/watch?v=3UvQTazI04U,2645853,5959,155,3139.0
_pMTTmXmsVY,পরিবারের ছোট ছেলে | Prank King | Shoeb Shanto | Afrina Rup | Jamrul Razu  | New Bangla Natok 2026,Feel Factory,2026-01-27T06:02:52Z,https://youtube.com/watch?v=_pMTTmXmsVY,2060440,39268,789,2606.0
U2ETFbpg5TU,Kismot Connection | কিসমত কানেকশন | Full Natok | Zaher Alvi | Tasnuva Tisha | New Bangla Natok 2025,Housefull Drama,2025-10-23T09:07:53Z,https://youtube.com/watch?v=U2ETFbpg5TU,2931247,16904,273,3111.0
lX0W7JFxEt4,নকলবাজ | Nokolbaz | Jovan | Keya Payel | Bangla Natok | New Natok 2025 | Durbeen Tv,Durbeen TV,2025-12-15T11:12:27Z,https://youtube.com/watch?v=lX0W7JFxEt4,1951153,11054,162,2877.0
HF16SlQLGNU,মন দিলে মন পাবে | Mon Dile Mon Pabe | Niloy Alamgir | Tania Brishty | Full Natok | New Natok 2025,Peacock Entertainment,2025-12-11T08:00:27Z,https://youtube.com/watch?v=HF16SlQLGNU,3668271,22142,362,2682.0
wJ_BhpM31cE,Matir Phool | মাটির ফুল | Full Drama | Shagor Mirza | Riya Chowdhury | Bangla New Natok 2026 | NAF,NAF Entertainment,2026-01-14T09:01:00Z,https://youtube.com/watch?v=wJ_BhpM31cE,565985,8038,256,3603.0
2x8ZCTEJfqk,প্রতিবাদী বউ । Protibadhi Bou | Full Natok | Ayesha Nafisa | Riad |Ariyal Alvi| bangla new natok2026,Chand Tara,2026-01-29T05:00:03Z,https://youtube.com/watch?v=2x8ZCTEJfqk,931729,4307,155,3099.0
p8_kSPSEHwM,বড় বোনের বিয়ের আগে বিয়ে করতে চায় ছোট বোন | বউয়ের বিয়ে | Yash Rohan | Totini | New Bangla Natok 2025,CMV Entertainment,2025-08-13T16:01:34Z,https://youtube.com/watch?v=p8_kSPSEHwM,2445132,30524,159,26.0
z4laJCd2mE0,Sweet Couple | সুইট কাপল | New Bangla Natok | Ziaul Faruq Apurba | Tanjim Saiara Totini। Nazmul Roni,Groun TV,2023-09-14T11:34:25Z,https://youtube.com/watch?v=z4laJCd2mE0,646068,5807,16,9.0
gyfJjOaYlh8,বাড়িতে কেউ আছেন নাকি খালাম্মারা | Arohi Mim | Shanto | Prank King | New Bangla Natok 2025 #Natok,Arohi_Official41,2025-06-27T05:43:29Z,https://youtube.com/watch?v=gyfJjOaYlh8,5533731,64488,326,56.0
71zgSXq1Rrs,শালার শশুড় | বাংলা নাটক | সাদ্দাম মাল | Salar Sosur | Bangla Natok | Saddam Mal | Barishal TV Drama,Barishal TV Drama,2025-11-30T13:45:12Z,https://youtube.com/watch?v=71zgSXq1Rrs,1919363,8737,129,1405.0
twKiRqhpVtM,Chayer Deshe Prem | New Bangla Natok 2026 | Sabuj Ahmed | Adrita Tithi |Full Natok |চায়ের দেশে প্রেম,Payra Drama,2026-02-02T09:00:18Z,https://youtube.com/watch?v=twKiRqhpVtM,210500,3190,143,2243.0
PcTOnMBo7Sc,প্রবাসী মানেই টাকার মেশিন তাদের কি কোনো দুঃখ কষ্ট নাই #natokclip #banglanatok #whatsappstatus,Alc Sakib Edits,2026-02-15T09:00:38Z,https://youtube.com/watch?v=PcTOnMBo7Sc,634,17,2,146.0
XZk5KzK0RYk,লাল শাড়ি l Lal Sari l Bangla New Natok l Mithila Express 2026,Mithila Express,2026-01-27T15:01:01Z,https://youtube.com/watch?v=XZk5KzK0RYk,1762774,3148,61,3121.0
esdiTZKuEjM,আদরের ভাই | Adorer Bhai | Tonmoy Sohel | Mim Chowdhury | Khan Atik | Protune | Bangla New Natok 2025,Protune Theatre Box,2025-12-17T08:00:49Z,https://youtube.com/watch?v=esdiTZKuEjM,621894,4163,111,2941.0
sgc1EaNQ0Kw,New Natok - SaiFul Library(সাইফুল লাইব্রেরি)| Khairul Basar |Tania Brishty |BiggB| Bangla Natok 2026,Club 11 Entertainment,2025-12-31T18:01:24Z,https://youtube.com/watch?v=sgc1EaNQ0Kw,1484793,15029,627,2606.0
M_ka37MgkPs,এ কেমন ঝগড়া ! | Jhagarali #newnatok,ATN Bangla Natok,2024-09-07T13:30:19Z,https://youtube.com/watch?v=M_ka37MgkPs,509023,3775,20,26.0
